,sl_no,ssc_p,hsc_p,degree_p,etest_p,mba_p,salary
count,192.0,192.0,192.0,192.0,192.0,192.0,130.0
mean,107.375,66.85567708333333,66.25203125,66.00276041666666,71.21124999999999,61.96192708333333,264400.0
std,62.113685671065916,10.483977781122688,9.582074535137163,7.001789837362479,12.873821015505342,5.578812005017329,40618.970631883305
min,1.0,40.89,44.0,50.0,50.0,51.29,200000.0
25%,55.75,60.3575,61.0,61.0,60.0,57.875,240000.0
50%,106.5,67.0,64.845,66.0,70.0,61.445,260000.0
75%,160.25,74.05,72.85,71.18,80.80000000000001,65.725,300000.0
max,215.0,88.0,91.0,84.0,98.0,77.89,380000.0
